group,subtask,n,primary_correct,primary_accuracy,normalized_exact_correct,normalized_exact_accuracy,raw_exact_correct,raw_exact_accuracy,mean_fts,lure_matches,lure_match_rate,valid_smiles,atom_mapped_outputs,missing_answers,truncated,mean_output_tokens
A,all,135,108,0.8,108,0.8,108,0.8,0.9533995721821779,2,0.014814814814814815,135,0,0,0,52.370370370370374
A,add,45,33,0.7333333333333333,33,0.7333333333333333,33,0.7333333333333333,0.9455525201653848,1,0.022222222222222223,45,0,0,0,53.022222222222226
A,delete,45,43,0.9555555555555556,43,0.9555555555555556,43,0.9555555555555556,0.9810350417757825,0,0.0,45,0,0,0,53.022222222222226
A,substitute,45,32,0.7111111111111111,32,0.7111111111111111,32,0.7111111111111111,0.9336111546053661,1,0.022222222222222223,45,0,0,0,51.06666666666667
N,all,135,116,0.8592592592592593,116,0.8592592592592593,116,0.8592592592592593,0.9621959896977572,2,0.014814814814814815,135,0,0,0,52.37777777777778
N,add,45,36,0.8,36,0.8,36,0.8,0.9527851655471474,2,0.044444444444444446,45,0,0,0,53.06666666666667
N,delete,45,42,0.9333333333333333,42,0.9333333333333333,42,0.9333333333333333,0.9725302406783888,0,0.0,45,0,0,0,53.17777777777778
N,substitute,45,38,0.8444444444444444,38,0.8444444444444444,38,0.8444444444444444,0.9612725628677352,0,0.0,45,0,0,0,50.888888888888886
H,all,135,91,0.674074074074074,91,0.674074074074074,91,0.674074074074074,0.9239100572195812,2,0.014814814814814815,135,0,0,0,52.370370370370374
H,add,45,28,0.6222222222222222,28,0.6222222222222222,28,0.6222222222222222,0.9181656474888491,2,0.044444444444444446,45,0,0,0,52.93333333333333
H,delete,45,41,0.9111111111111111,41,0.9111111111111111,41,0.9111111111111111,0.9675536578070691,0,0.0,45,0,0,0,53.24444444444445
H,substitute,45,22,0.4888888888888889,22,0.4888888888888889,22,0.4888888888888889,0.8860108663628256,0,0.0,45,0,0,0,50.93333333333333
L,all,135,97,0.7185185185185186,97,0.7185185185185186,97,0.7185185185185186,0.9297277627377252,2,0.014814814814814815,135,0,0,0,52.18518518518518
L,add,45,29,0.6444444444444445,29,0.6444444444444445,29,0.6444444444444445,0.9211347676373343,1,0.022222222222222223,45,0,0,0,52.8
L,delete,45,41,0.9111111111111111,41,0.9111111111111111,41,0.9111111111111111,0.9682886978013684,1,0.022222222222222223,45,0,0,0,53.355555555555554
L,substitute,45,27,0.6,27,0.6,27,0.6,0.8997598227744728,0,0.0,45,0,0,0,50.4
