group,subtask,n,primary_correct,primary_accuracy,normalized_exact_correct,normalized_exact_accuracy,raw_exact_correct,raw_exact_accuracy,mean_fts,lure_matches,lure_match_rate,valid_smiles,atom_mapped_outputs,missing_answers,truncated,mean_output_tokens
A,all,6,4,0.6666666666666666,4,0.6666666666666666,4,0.6666666666666666,0.9342676311030742,0,0.0,6,0,0,0,47.5
A,add,2,1,0.5,1,0.5,1,0.5,0.9357142857142857,0,0.0,2,0,0,0,51
A,delete,2,2,1.0,2,1.0,2,1.0,1.0,0,0.0,2,0,0,0,39
A,substitute,2,1,0.5,1,0.5,1,0.5,0.8670886075949367,0,0.0,2,0,0,0,52.5
N,all,6,6,1.0,6,1.0,6,1.0,1.0,0,0.0,6,0,0,0,47.166666666666664
N,add,2,2,1.0,2,1.0,2,1.0,1.0,0,0.0,2,0,0,0,52
N,delete,2,2,1.0,2,1.0,2,1.0,1.0,0,0.0,2,0,0,0,39
N,substitute,2,2,1.0,2,1.0,2,1.0,1.0,0,0.0,2,0,0,0,50.5
H,all,6,4,0.6666666666666666,4,0.6666666666666666,4,0.6666666666666666,0.9306547619047619,0,0.0,6,0,0,0,47
H,add,2,1,0.5,1,0.5,1,0.5,0.9357142857142857,0,0.0,2,0,0,0,51
H,delete,2,2,1.0,2,1.0,2,1.0,1.0,0,0.0,2,0,0,0,39
H,substitute,2,1,0.5,1,0.5,1,0.5,0.85625,0,0.0,2,0,0,0,51
L,all,6,4,0.6666666666666666,4,0.6666666666666666,4,0.6666666666666666,0.9306547619047619,0,0.0,6,0,0,0,47
L,add,2,1,0.5,1,0.5,1,0.5,0.9357142857142857,0,0.0,2,0,0,0,51
L,delete,2,2,1.0,2,1.0,2,1.0,1.0,0,0.0,2,0,0,0,39
L,substitute,2,1,0.5,1,0.5,1,0.5,0.85625,0,0.0,2,0,0,0,51
