group,subtask,n,exact_correct,exact_accuracy,main_fragment_correct,main_fragment_accuracy,mean_fts,valid_smiles,atom_mapped_outputs,map_normalized_exact_correct,map_normalized_exact_accuracy,missing_answers,truncated,mean_output_tokens
A,all,150,0,0.0,0,0.0,0.3550929497254435,80,67,17,0.11333333333333333,22,22,1379.62
A,add,50,0,0.0,0,0.0,0.23514621441857064,17,14,5,0.1,13,13,2266.62
A,delete,50,0,0.0,0,0.0,0.43475556225263273,33,29,2,0.04,4,4,891.46
A,substitute,50,0,0.0,0,0.0,0.3953770725051271,30,24,10,0.2,5,5,980.78
B,all,150,86,0.5733333333333334,86,0.5733333333333334,0.8184850112939863,138,47,92,0.6133333333333333,2,2,230.44666666666666
B,add,50,32,0.64,32,0.64,0.78494303322608,42,9,33,0.66,2,2,423.38
B,delete,50,21,0.42,21,0.42,0.7974193104673867,48,25,21,0.42,0,0,169.72
B,substitute,50,33,0.66,33,0.66,0.8730926901884923,48,13,38,0.76,0,0,98.24
C,all,150,85,0.5666666666666667,85,0.5666666666666667,0.8291208392573198,139,51,91,0.6066666666666667,2,2,234.34
C,add,50,33,0.66,33,0.66,0.790137434522764,42,8,34,0.68,2,2,418.38
C,delete,50,19,0.38,19,0.38,0.7961006068462138,48,28,19,0.38,0,0,182.8
C,substitute,50,33,0.66,33,0.66,0.9011244764029819,49,15,38,0.76,0,0,101.84
D,all,150,0,0.0,0,0.0,0.42257559879082746,91,84,19,0.12666666666666668,10,10,944.6
D,add,50,0,0.0,0,0.0,0.3623165632221586,26,24,6,0.12,5,5,1184.1
D,delete,50,0,0.0,0,0.0,0.43864961081074805,31,30,2,0.04,4,4,1090.76
D,substitute,50,0,0.0,0,0.0,0.4667606223395757,34,30,11,0.22,1,1,558.94
