group,subtask,n,primary_correct,primary_accuracy,normalized_exact_correct,normalized_exact_accuracy,raw_exact_correct,raw_exact_accuracy,mean_fts,valid_smiles,atom_mapped_outputs,missing_answers,truncated,mean_output_tokens
A,all,150,121,0.8066666666666666,121,0.8066666666666666,121,0.8066666666666666,0.9561801902676339,150,0,0,0,52.88
A,add,50,37,0.74,37,0.74,37,0.74,0.9478986765995505,50,0,0,0,53.56
A,delete,50,48,0.96,48,0.96,48,0.96,0.9829315375982043,50,0,0,0,53.22
A,substitute,50,36,0.72,36,0.72,36,0.72,0.937710356605147,50,0,0,0,51.86
B,all,150,132,0.88,132,0.88,132,0.88,0.9682273949221002,150,0,0,0,52.973333333333336
B,add,50,39,0.78,39,0.78,39,0.78,0.9486338529667426,50,0,0,0,53.48
B,delete,50,48,0.96,48,0.96,48,0.96,0.9862312407524836,50,0,0,0,53.22
B,substitute,50,45,0.9,45,0.9,45,0.9,0.9698170910470743,50,0,0,0,52.22
C,all,150,131,0.8733333333333333,131,0.8733333333333333,131,0.8733333333333333,0.9661821582582759,150,0,0,0,53.026666666666664
C,add,50,40,0.8,40,0.8,40,0.8,0.951268462609973,50,0,0,0,53.44
C,delete,50,47,0.94,47,0.94,47,0.94,0.9796558982867302,50,0,0,0,53.42
C,substitute,50,44,0.88,44,0.88,44,0.88,0.9676221138781245,50,0,0,0,52.22
D,all,150,117,0.78,117,0.78,117,0.78,0.9431469162167951,150,0,0,0,249.86
D,add,50,36,0.72,36,0.72,36,0.72,0.9404602807410085,50,0,0,0,250.58
D,delete,50,44,0.88,44,0.88,44,0.88,0.9454479759536233,50,0,0,0,247.94
D,substitute,50,37,0.74,37,0.74,37,0.74,0.9435324919557538,50,0,0,0,251.06
