group,subtask,n,primary_correct,primary_accuracy,normalized_exact_correct,normalized_exact_accuracy,raw_exact_correct,raw_exact_accuracy,mean_fts,valid_smiles,atom_mapped_outputs,missing_answers,truncated,mean_output_tokens
A,all,6,4,0.6666666666666666,4,0.6666666666666666,4,0.6666666666666666,0.9342676311030742,6,1,0,0,47.5
A,add,2,1,0.5,1,0.5,1,0.5,0.9357142857142857,2,0,0,0,51
A,delete,2,2,1.0,2,1.0,2,1.0,1.0,2,0,0,0,39
A,substitute,2,1,0.5,1,0.5,1,0.5,0.8670886075949367,2,1,0,0,52.5
B,all,6,5,0.8333333333333334,5,0.8333333333333334,5,0.8333333333333334,0.9703196347031964,6,1,0,0,46.5
B,add,2,1,0.5,1,0.5,1,0.5,0.910958904109589,2,1,0,0,50
B,delete,2,2,1.0,2,1.0,2,1.0,1.0,2,0,0,0,39
B,substitute,2,2,1.0,2,1.0,2,1.0,1.0,2,0,0,0,50.5
C,all,6,5,0.8333333333333334,5,0.8333333333333334,5,0.8333333333333334,0.9703196347031964,6,1,0,0,46.5
C,add,2,1,0.5,1,0.5,1,0.5,0.910958904109589,2,1,0,0,50
C,delete,2,2,1.0,2,1.0,2,1.0,1.0,2,0,0,0,39
C,substitute,2,2,1.0,2,1.0,2,1.0,1.0,2,0,0,0,50.5
D,all,6,5,0.8333333333333334,5,0.8333333333333334,5,0.8333333333333334,0.9620253164556962,6,0,0,0,233.66666666666666
D,add,2,2,1.0,2,1.0,2,1.0,1.0,2,0,0,0,264.5
D,delete,2,2,1.0,2,1.0,2,1.0,1.0,2,0,0,0,192
D,substitute,2,1,0.5,1,0.5,1,0.5,0.8860759493670887,2,0,0,0,244.5
