group,subtask,n,primary_correct,primary_accuracy,normalized_exact_correct,normalized_exact_accuracy,raw_exact_correct,raw_exact_accuracy,mean_fts,valid_smiles,atom_mapped_outputs,missing_answers,truncated,mean_output_tokens
A,all,150,121,0.8066666666666666,121,0.8066666666666666,121,0.8066666666666666,0.9574443662307041,150,0,0,0,52.833333333333336
A,add,50,37,0.74,37,0.74,37,0.74,0.9478986765995505,50,0,0,0,53.56
A,delete,50,48,0.96,48,0.96,48,0.96,0.9829315375982043,50,0,0,0,53.22
A,substitute,50,36,0.72,36,0.72,36,0.72,0.9415028844943575,50,0,0,0,51.72
B,all,150,132,0.88,132,0.88,132,0.88,0.9664315680600258,150,0,0,0,53.06
B,add,50,40,0.8,40,0.8,40,0.8,0.9518812268937686,50,0,0,0,53.48
B,delete,50,47,0.94,47,0.94,47,0.94,0.9785769197648293,50,0,0,0,53.36
B,substitute,50,45,0.9,45,0.9,45,0.9,0.9688365575214795,50,0,0,0,52.34
C,all,150,133,0.8866666666666667,133,0.8866666666666667,133,0.8866666666666667,0.9694391075412335,150,0,0,0,53
C,add,50,40,0.8,40,0.8,40,0.8,0.9509445015186871,50,0,0,0,53.4
C,delete,50,48,0.96,48,0.96,48,0.96,0.9862312407524836,50,0,0,0,53.22
C,substitute,50,45,0.9,45,0.9,45,0.9,0.9711415803525296,50,0,0,0,52.38
D,all,150,119,0.7933333333333333,119,0.7933333333333333,119,0.7933333333333333,0.9464139695169885,150,0,0,0,250.62666666666667
D,add,50,37,0.74,37,0.74,37,0.74,0.9457543983880673,50,0,0,0,251.44
D,delete,50,44,0.88,44,0.88,44,0.88,0.9454479759536233,50,0,0,0,248.18
D,substitute,50,38,0.76,38,0.76,38,0.76,0.9480395342092749,50,0,0,0,252.26
